Date,Open,High,Low,Close,Adj Close,Volume
2024-05-03,160.000000,160.449997,155.050003,157.000000,157.000000,5781870
2024-05-06,158.399994,158.399994,151.550003,155.699997,155.699997,5346958
2024-05-07,154.250000,155.100006,148.649994,149.949997,149.949997,5350392
2024-05-08,149.000000,153.699997,146.300003,152.199997,152.199997,4386579
2024-05-09,152.250000,152.850006,146.300003,146.899994,146.899994,1732253
2024-05-10,147.649994,149.600006,142.399994,148.100006,148.100006,2273086
2024-05-13,148.350006,148.350006,143.149994,145.949997,145.949997,4145650
2024-05-14,147.000000,158.000000,147.000000,157.199997,157.199997,8420660
2024-05-15,159.149994,159.750000,154.899994,155.250000,155.250000,3050678
2024-05-16,157.000000,159.500000,155.699997,157.600006,157.600006,2770483
2024-05-17,158.649994,170.500000,157.149994,168.800003,168.800003,10237150
2024-05-21,176.699997,182.000000,176.149994,179.350006,179.350006,10606720
2024-05-22,181.800003,183.800003,173.000000,175.699997,175.699997,7180420
2024-05-23,177.199997,191.649994,175.899994,186.399994,186.399994,28598020
2024-05-24,188.699997,190.800003,183.000000,184.050003,184.050003,7129410
2024-05-27,187.550003,192.800003,184.000000,184.600006,184.600006,12263890
2024-05-28,186.350006,187.500000,177.500000,180.199997,180.199997,10206380
2024-05-29,178.949997,181.800003,175.350006,180.250000,180.250000,4344580
2024-05-30,180.750000,182.000000,175.800003,176.550003,176.550003,2843429
2024-05-31,178.300003,179.949997,172.100006,177.800003,177.800003,4675193
2024-06-03,199.899994,199.949997,186.149994,188.949997,188.949997,17261490
2024-06-04,190.000000,190.000000,151.199997,164.899994,164.899994,36928890
2024-06-05,168.199997,175.000000,153.250000,166.500000,166.500000,10326410
2024-06-06,171.800003,177.800003,167.850006,177.350006,177.350006,5343663
